source,file,size,severity,finding,offset,detected_type
recovered,_nnocent.jpg,434336,HIGH,embedded zip signature,287186,JPEG image data; JFIF standard 1.02; resolution (DPI); density 72x72; segment length 16; Exif Standard: [TIFF image data; big-endian; direntries=7; orientation=upper-left; xresolution=98; yresolution=106; resolutionunit=2; software=Adobe Photoshop CS Macintosh; datetime=2005:12:01 17:40:18]; baseline; precision 8; 640x481; components 3
recovered,_nnocent.jpg,434336,HIGH,147150 bytes appended after JPEG end-of-image,287186,JPEG image data; JFIF standard 1.02; resolution (DPI); density 72x72; segment length 16; Exif Standard: [TIFF image data; big-endian; direntries=7; orientation=upper-left; xresolution=98; yresolution=106; resolutionunit=2; software=Adobe Photoshop CS Macintosh; datetime=2005:12:01 17:40:18]; baseline; precision 8; 640x481; components 3
recovered,_nnocent.jpg,434336,HIGH,YARA:archive_appended_to_image - Archive appended to an image (classic polyglot carrier),0,JPEG image data; JFIF standard 1.02; resolution (DPI); density 72x72; segment length 16; Exif Standard: [TIFF image data; big-endian; direntries=7; orientation=upper-left; xresolution=98; yresolution=106; resolutionunit=2; software=Adobe Photoshop CS Macintosh; datetime=2005:12:01 17:40:18]; baseline; precision 8; 640x481; components 3
recovered,_nnocent.jpg,434336,INFO,embedded jpg signature,332,JPEG image data; JFIF standard 1.02; resolution (DPI); density 72x72; segment length 16; Exif Standard: [TIFF image data; big-endian; direntries=7; orientation=upper-left; xresolution=98; yresolution=106; resolutionunit=2; software=Adobe Photoshop CS Macintosh; datetime=2005:12:01 17:40:18]; baseline; precision 8; 640x481; components 3
recovered,_rchive.zip,147150,INFO,embedded zip signature,62619,Zip archive data; at least v2.0 to extract; compression method=deflate
carved,carved/00000.jpg,287186,INFO,embedded jpg signature,332,JPEG image data; JFIF standard 1.02; resolution (DPI); density 72x72; segment length 16; Exif Standard: [TIFF image data; big-endian; direntries=7; orientation=upper-left; xresolution=98; yresolution=106; resolutionunit=2; software=Adobe Photoshop CS Macintosh; datetime=2005:12:01 17:40:18]; baseline; precision 8; 640x481; components 3
carved,carved/00001__rchive.zip,147150,INFO,embedded zip signature,62619,Zip archive data; at least v2.0 to extract; compression method=deflate
carved,carved/00002__nnocent.jpg,287186,INFO,embedded jpg signature,332,JPEG image data; JFIF standard 1.02; resolution (DPI); density 72x72; segment length 16; Exif Standard: [TIFF image data; big-endian; direntries=7; orientation=upper-left; xresolution=98; yresolution=106; resolutionunit=2; software=Adobe Photoshop CS Macintosh; datetime=2005:12:01 17:40:18]; baseline; precision 8; 640x481; components 3
carved,carved/00003__nnocent.jpg,147150,INFO,embedded zip signature,62619,Zip archive data; at least v2.0 to extract; compression method=deflate
